,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
0,Air Force,28,9,19,0.321,-7.45,2.05,3.0,15.0,3.0,7.0,1.0,11.0,1833.0,1984.0,0.376,0.279,0.5,49.9,44.3,9.6,0.458,17.4,0.263,10.0,WAC,-1,False,False,False,1993
1,Akron,26,8,18,0.308,-10.69,-5.06,3.0,15.0,4.0,7.0,2.0,10.0,1614.0,1709.0,0.372,0.277,0.517,51.1,54.3,5.5,0.488,18.4,0.241,10.0,MAC,-1,False,False,False,1993
2,Alabama,29,16,13,0.552,9.66,7.83,7.0,9.0,11.0,3.0,2.0,9.0,2192.0,2138.0,0.415,0.299,0.541,51.7,43.1,8.9,0.513,19.4,0.271,10.0,SEC,-1,False,False,False,1993
3,Alabama State,27,14,13,0.519,-8.49,-9.7,9.0,5.0,7.0,1.0,4.0,7.0,2378.0,2288.0,0.433,0.203,0.557,51.3,46.4,2.8,0.518,20.7,0.305,3.0,SWAC,-1,False,False,False,1993
4,Alcorn State,27,7,20,0.259,-11.04,-4.58,5.0,9.0,3.0,5.0,2.0,10.0,2132.0,2313.0,0.264,0.163,0.517,47.9,52.6,7.2,0.487,19.7,0.188,7.0,SWAC,-1,False,False,False,1993
5,American,28,11,17,0.393,-0.17,1.15,6.0,8.0,6.0,5.0,4.0,10.0,2131.0,2168.0,0.424,0.269,0.525,52.7,53.1,5.6,0.477,17.7,0.307,4.0,CAA,-1,False,False,False,1993
6,Appalachian State,28,13,15,0.464,-6.09,-4.27,8.0,10.0,7.0,5.0,4.0,8.0,2276.0,2295.0,0.361,0.324,0.532,45.1,50.7,8.4,0.503,18.0,0.241,6.0,Southern,-1,False,False,False,1993
7,Arizona,28,24,4,0.857,20.5,8.28,17.0,1.0,14.0,1.0,9.0,1.0,2340.0,1998.0,0.424,0.231,0.562,55.8,57.4,9.9,0.53,17.6,0.29,1.0,Pac-10,2.0,True,False,False,1993
8,Arizona State,28,18,10,0.643,9.24,6.99,11.0,7.0,12.0,3.0,4.0,6.0,2366.0,2304.0,0.296,0.386,0.519,44.1,59.1,6.7,0.499,15.2,0.185,4.0,Pac-10,-1,False,False,False,1993
9,Arkansas,31,22,9,0.71,17.72,8.3,10.0,6.0,9.0,2.0,7.0,5.0,2695.0,2403.0,0.354,0.261,0.566,45.6,58.5,7.2,0.539,15.9,0.243,7.0,SEC,4.0,True,False,False,1993
10,Arkansas State,28,16,12,0.571,4.06,0.02,11.0,7.0,7.0,4.0,5.0,6.0,1971.0,1834.0,0.374,0.257,0.523,51.5,56.1,7.6,0.49,20.3,0.253,4.0,Sun Belt,-1,False,False,False,1993
11,Army,26,4,22,0.154,-19.98,-7.17,2.0,12.0,4.0,8.0,0.0,13.0,1555.0,1888.0,0.415,0.215,0.489,48.6,54.1,4.8,0.452,21.8,0.266,7.0,Patriot,-1,False,False,False,1993
12,Auburn,27,15,12,0.556,8.92,6.96,8.0,8.0,7.0,3.0,5.0,8.0,2171.0,2057.0,0.332,0.254,0.576,51.2,51.9,5.8,0.55,18.7,0.234,9.0,SEC,-1,False,False,False,1993
13,Austin Peay,27,7,20,0.259,-13.85,-1.43,4.0,12.0,4.0,7.0,1.0,11.0,1864.0,2173.0,0.408,0.217,0.516,46.9,50.2,3.7,0.477,20.8,0.277,8.0,OVC,-1,False,False,False,1993
14,Ball State,34,26,8,0.765,1.32,-4.68,14.0,4.0,14.0,1.0,4.0,6.0,2421.0,2185.0,0.487,0.21,0.549,53.3,55.6,6.1,0.506,18.7,0.339,1.0,MAC,15.0,True,False,False,1993
15,Baylor,27,16,11,0.593,2.99,1.83,7.0,7.0,11.0,3.0,5.0,7.0,2352.0,2264.0,0.468,0.342,0.553,51.0,62.3,10.4,0.521,16.8,0.31,4.0,SWC,-1,False,False,False,1993
16,Bethune-Cookman,27,3,24,0.111,-23.18,-8.77,2.0,14.0,2.0,7.0,1.0,15.0,1728.0,2123.0,0.307,0.188,0.472,47.6,56.9,4.2,0.455,22.0,0.173,9.0,MEAC,-1,False,False,False,1993
17,Boise State,29,21,8,0.724,0.35,-4.28,10.0,4.0,11.0,2.0,6.0,5.0,2190.0,2020.0,0.433,0.237,0.552,49.4,54.2,8.7,0.511,18.9,0.311,2.0,Big Sky,14.0,True,False,False,1993
18,Boston College,31,18,13,0.581,11.88,7.46,9.0,9.0,11.0,6.0,6.0,7.0,2215.0,2078.0,0.356,0.272,0.568,50.1,56.3,4.8,0.531,18.1,0.266,7.0,Big East,-1,False,False,False,1993
19,Boston University,27,6,21,0.222,-16.04,-5.22,3.0,11.0,5.0,9.0,1.0,11.0,1880.0,2172.0,0.371,0.22,0.486,46.9,56.9,6.9,0.448,18.6,0.247,8.0,NAC,-1,False,False,False,1993
20,Bowling Green State,27,11,16,0.407,-4.0,-0.85,8.0,10.0,6.0,4.0,3.0,11.0,1749.0,1800.0,0.354,0.283,0.54,48.2,54.9,5.4,0.514,18.2,0.234,7.0,MAC,-1,False,False,False,1993
21,Bradley,27,11,16,0.407,-0.92,1.12,7.0,11.0,7.0,5.0,3.0,10.0,1623.0,1656.0,0.384,0.152,0.518,49.8,55.1,8.2,0.486,21.3,0.253,7.0,MVC,-1,False,False,False,1993
22,Brigham Young,34,25,9,0.735,12.5,4.09,15.0,3.0,13.0,1.0,8.0,3.0,2754.0,2445.0,0.477,0.233,0.589,54.6,64.7,9.0,0.54,19.5,0.366,2.0,WAC,7.0,True,False,False,1993
23,Brown,26,7,19,0.269,-15.84,-5.81,2.0,12.0,4.0,6.0,3.0,12.0,1615.0,1874.0,0.404,0.259,0.493,45.9,53.6,7.6,0.46,19.0,0.256,8.0,Ivy,-1,False,False,False,1993
24,Bucknell,29,23,6,0.793,-0.11,-8.57,13.0,1.0,12.0,1.0,9.0,5.0,2350.0,2081.0,0.36,0.226,0.537,48.1,48.9,8.9,0.506,15.1,0.244,1.0,Patriot,-1,False,False,False,1993
26,Butler,28,11,17,0.393,-1.51,3.2,5.0,9.0,7.0,4.0,1.0,11.0,1899.0,1986.0,0.371,0.266,0.516,50.1,50.1,2.8,0.478,20.0,0.258,6.0,MW Coll,-1,False,False,False,1993
27,Cal State Fullerton,27,15,12,0.556,3.13,2.2,10.0,8.0,9.0,3.0,5.0,9.0,1937.0,1892.0,0.429,0.232,0.535,48.8,53.0,10.6,0.504,17.5,0.281,6.0,Big West,-1,False,False,False,1993
29,California,30,21,9,0.7,12.79,7.26,12.0,6.0,9.0,3.0,8.0,3.0,2380.0,2214.0,0.398,0.234,0.54,53.2,58.6,8.1,0.509,18.4,0.265,2.0,Pac-10,6.0,True,False,False,1993
30,Campbell,27,12,15,0.444,-13.72,-10.14,10.0,6.0,6.0,4.0,5.0,7.0,1923.0,1988.0,0.286,0.38,0.543,47.2,65.7,6.6,0.522,16.3,0.189,3.0,Big South,-1,False,False,False,1993
31,Canisius,28,10,18,0.357,-6.53,-2.1,5.0,9.0,6.0,5.0,3.0,11.0,1776.0,1900.0,0.303,0.329,0.5,47.6,58.5,7.3,0.464,21.8,0.214,6.0,MAAC,-1,False,False,False,1993
